Baker Name,Baker Age,Baker Occupation,Hometown,Episode,Series.x,Signature Bake,Show Stopper,result,Baker,Series.y,series,episode,technical
Louise Brimelow,44,Police Officer,Manchester,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,1,7,9,NA
Louise Brimelow,44,Police Officer,Manchester,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,1,7,10,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",IN,Louise,7,1,1,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",OUT,Louise,7,1,2,4
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,1,3,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,1,4,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,1,5,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,1,6,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",IN,Louise,7,7,1,9
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",OUT,Louise,7,7,2,10
